,508,509,512,513,516,517,520,521
WNT2,4.69455368790816,1.3328580234688,5.98372036486048,2.89864835625364,2.11057837942801,-0.165525201539909,4.28285130191303,1.2370000288886
DNM1,6.18073526217034,4.44196514365529,5.66002401990528,3.98151281042034,5.8002922874965,3.9603755075091,6.28530033555224,4.48895537322577
ZBTB16,-1.86352251820081,5.25796696285121,-1.7771519191856,4.9022228878453,-2.93197221657965,4.28308662399116,-0.515040727317009,5.7791730037569
DUSP1,4.93655107030217,8.01907429882787,5.60756813037785,8.30219557783798,5.02834170722824,7.72298976466619,5.14324586287326,8.39670934427623
HIF3A,1.0139912580994,3.37445673080234,1.57525031122943,4.15474019163534,0.492887784795945,2.83358793070328,2.25012442319609,4.79058092806672
MT2A,6.24851399016412,8.27698758640279,5.78285535349592,8.07084582202555,5.75838967893522,8.20158550590639,5.91636282515681,7.93349175824132
FGD4,4.13241331926396,6.2395775164949,4.2162201879756,6.50205756195231,4.31271009913433,6.30382156424754,4.58981850877196,7.03908171742351
PRSS35,3.93001559453838,1.14344085971871,5.18907269381948,2.64982582436249,4.84830664593644,2.06814189565329,4.48262215247243,1.607251411321
ADAM12,6.67785831073959,4.82250784199589,6.98451044997398,4.96455744842029,6.86031250858483,5.10896456918063,5.81732874866786,4.14377753052124
SPARCL1,1.55470970310097,6.72069644167212,2.02259555555733,6.34935521091851,2.02834001111556,6.00586264525223,2.03488498060457,6.71983276215129
ACSS1,3.71483726631926,5.56550314244328,3.86937676723286,5.79920433839758,2.91630176912867,4.88790377026001,4.23313747152727,5.99510828523058
TIMP4,0.598793673732585,3.76820277073184,0.580523267025356,3.37516813739973,1.5275170040646,4.25311956115208,0.819552014211164,3.63867920029566
STEAP2,5.90927303326086,7.72325041735153,6.0463676874266,8.15485426186916,5.34380759907602,7.2693879518966,5.94039233384028,7.93029052160909
PDPN,5.35753249909343,7.20677629425236,4.35562719096266,6.28395625499249,3.12195409198714,5.02574217372951,4.18969108667715,5.99287820478704
NEXN,6.38633543860892,8.60998436036047,6.79475336433913,8.8347306816487,6.47359951916285,8.42466113213688,6.85334055833747,8.71889675737361
DNAJB4,5.03276842874731,6.5087197277283,5.2842361428814,6.87435015921954,5.2410588772593,6.70020334810133,5.06014990916259,6.54135805502078
VCAM1,5.39422051601125,1.71977948787564,5.58242033138669,1.96834777623529,5.76263513289002,2.53465016621424,5.03804927591473,0.694381107656567
CACNB2,1.91233417188757,5.24230161509031,2.58230398391373,5.83652615191799,1.48703785665958,4.58122522039289,2.31037269750291,5.60468736900362
FAM107A,-0.639114866992957,3.83238908678589,0.580523267025356,4.97415813302148,-2.93197221657965,1.17570994805675,-1.76598130170826,3.26276217161494
MAOA,4.34615499416104,7.58181859772461,4.53361197669738,7.75164740340675,4.70786106177427,7.73478409076481,3.53657663182848,7.42383345715469
